v\R,0,0,0,0,0,0
0,3.7338,3.1121,2.6915,2.8269,2.8411,3.0390
0,4.8679,2.6533,2.5664,2.5406,2.5299,2.5827
0,5.7178,2.9161,2.5697,2.5220,2.5097,2.5568
1,6.0499,3.3023,2.6651,2.5483,2.5100,2.5646
1,6.0821,3.7141,2.7799,2.5971,2.5454,2.5702
1,6.0385,4.0690,2.9107,2.6505,2.5927,2.5905
