timestamp_utc,err_pan,err_tilt,error_deg,last_delta_pan,last_delta_tilt,dt_send,d_pan,d_tilt,current_pan_deg,current_tilt_deg,action_pan,action_tilt,next_err_pan,next_err_tilt,next_error_deg,use_model
2026-02-15T12:08:28.442,0.0,0.0,0.0,0.0,0.0,2.247762441635132,0.0,0.0,15.05319905577967,33.0,0.0,0.0,0.0,0.0,0.0,0
2026-02-15T12:08:28.507,0.0,0.0,0.0,0.0,0.0,2.3118650913238525,0.0,0.0,15.05319905577967,33.0,0.0,0.0,0.0,0.0,0.0,0
2026-02-15T12:08:28.570,0.0,0.0,0.0,0.0,0.0,2.3753044605255127,0.0,0.0,15.05319905577967,33.0,0.0,0.0,0.0,0.0,0.0,0
2026-02-15T12:08:28.650,0.0,0.0,0.0,0.0,0.0,2.455263614654541,0.0,0.0,15.05319905577967,33.0,0.0,0.0,0.0,0.0,0.0,0
2026-02-15T12:08:28.714,0.0,0.0,0.0,0.0,0.0,2.5190682411193848,0.0,0.0,15.05319905577967,33.0,0.0,0.0,0.0,0.0,0.0,0
2026-02-15T12:08:28.778,0.0,0.0,0.0,0.0,0.0,2.5828943252563477,0.0,0.0,15.05319905577967,33.0,0.0,0.0,0.0,0.0,0.0,0
2026-02-15T12:08:28.842,0.0,0.0,0.0,0.0,0.0,2.6469836235046387,0.0,0.0,15.05319905577967,33.0,0.0,0.0,0.0,0.0,0.0,0
2026-02-15T12:08:28.928,0.0,0.0,0.0,0.0,0.0,2.732919454574585,0.0,0.0,15.05319905577967,33.0,0.0,0.0,0.0,0.0,0.0,0
2026-02-15T12:08:28.992,0.0,0.0,0.0,0.0,0.0,2.7971723079681396,0.0,0.0,15.05319905577967,33.0,0.0,0.0,0.0,0.0,0.0,0
2026-02-15T12:08:29.055,0.0,0.0,0.0,0.0,0.0,2.860748291015625,0.0,0.0,15.05319905577967,33.0,0.0,0.0,0.0,0.0,0.0,0
2026-02-15T12:08:29.119,0.0,0.0,0.0,0.0,0.0,2.9244437217712402,0.0,0.0,15.05319905577967,33.0,0.0,0.0,0.0,0.0,0.0,0
2026-02-15T12:08:29.199,0.0,0.0,0.0,0.0,0.0,3.004263162612915,0.0,0.0,15.05319905577967,33.0,0.0,0.0,0.0,0.0,0.0,0
2026-02-15T12:08:29.263,0.0,0.0,0.0,0.0,0.0,3.0681190490722656,0.0,0.0,15.05319905577967,33.0,0.0,0.0,0.0,0.0,0.0,0
2026-02-15T12:08:29.327,0.0,0.0,0.0,0.0,0.0,3.1325833797454834,0.0,0.0,15.05319905577967,33.0,0.0,0.0,0.0,0.0,0.0,0
2026-02-15T12:08:29.391,0.0,0.0,0.0,0.0,0.0,3.196291923522949,0.0,0.0,15.05319905577967,33.0,0.0,0.0,0.0,0.0,0.0,0
2026-02-15T12:08:29.477,0.0,-0.0028533057389807936,0.0028533057389807936,0.0,0.0,3.2820067405700684,0.0,-0.0008693783908820335,15.05319905577967,33.0,0.0,0.0,0.0,-0.0028533057389807936,0.0028533057389807936,0
2026-02-15T12:08:29.540,0.0,-0.1336326028042194,0.1336326028042194,0.0,0.0,3.345716714859009,0.0,-0.03908857450017245,15.05319905577967,33.0,0.0,-0.1,0.0,-0.03363260280421798,0.03363260280421798,0
2026-02-15T12:08:29.621,0.0,-0.24044568553854617,0.24044568553854617,0.0,-0.1,0.08014774322509766,0.0,-1.3327023124573651,15.05319905577967,32.9,0.0,-0.1,0.0,-0.14044568553854475,0.14044568553854475,0
