t,pan,tilt,pan_target,tilt_target,error_mm,velocity_mm_s
1771175578.9510932,0.0,0.0,0.0,3.749999999999999,3.749999999999999,2.1172378642555498e-09
1771175578.997995,0.0,3.749999999999999,0.09216655563412497,3.865751791825119,0.1479633444072693,3.1547542054737048
1771175579.0335293,0.09216655563412497,3.865751791825119,0.17772273207798328,3.826129043876185,0.09428584985413983,2.6533696353149994
1771175579.0763838,0.17772273207798328,3.826129043876185,0.2504600691938925,3.7364988762914364,0.11543087607734558,2.693550225345433
1771175579.1080043,0.2504600691938925,3.7364988762914364,0.3182745957692784,3.656737099331413,0.10469360571908984,3.310940609247066
1771175579.139996,0.3182745957692784,3.656737099331413,0.3801919302161177,3.6274527753855867,0.06849326926031377,2.140968626663669
1771175579.171871,0.3801919302161177,3.6274527753855867,0.4387393613321905,3.6500060296720105,0.06274114255573754,1.968356048455044
1771175579.235765,0.4387393613321905,3.6500060296720105,0.5307249169892287,3.698950095134998,0.10419627629420974,1.6307669229411028
1771175579.331627,0.5307249169892287,3.698950095134998,0.691419069207359,3.7242655907848943,0.16267601199040846,1.696982763857942
1771175579.423574,0.691419069207359,3.7242655907848943,0.8731291692224039,3.706789767850369,0.18254852734195506,1.9853651678044866
1771175579.5034783,0.8731291692224039,3.706789767850369,1.0607318577116291,3.6519254514578665,0.19546064038982866,2.4461837061481813
1771175579.5987673,1.0607318577116291,3.6519254514578665,1.229048713335987,3.5855772207961447,0.18092167255254965,1.8986628874095173
1771175579.6789486,1.229048713335987,3.5855772207961447,1.3808974799933176,3.5226590536269824,0.16436770879731535,2.049949119041986
1771175579.7588155,1.3808974799933176,3.5226590536269824,1.5181999606282064,3.4707717886554534,0.14677962888193877,1.8378033247300822
1771175579.838581,1.5181999606282064,3.4707717886554534,1.642117281994133,3.4298317265008387,0.13050513868706493,1.6361088866177205
1771175579.9184833,1.642117281994133,3.4298317265008387,1.7608391368599037,3.392794048564373,0.12436506104889142,1.556466586552273
1771175580.014356,1.7608391368599037,3.392794048564373,1.8891924348531468,3.3482128541261695,0.1358751338666467,1.4172461820441504
1771175580.0941978,1.8891924348531468,3.3482128541261695,2.0237884695991526,3.294199975722831,0.1450292508522396,1.816456493400796
1771175580.1741817,2.0237884695991526,3.294199975722831,2.1632861467573443,3.228148265187939,0.15434516641967186,1.929701734827411
1771175580.2538593,2.1632861467573443,3.228148265187939,2.2979548936044365,3.1547831325608193,0.15335616734504381,1.9247091076985285
1771175580.333792,2.2979548936044365,3.1547831325608193,2.424343715074668,3.075706190037957,0.14908821895575133,1.8651720538533554
1771175580.413733,2.424343715074668,3.075706190037957,2.541962746696261,2.9918819081106554,0.14443249925217364,1.8067379348559305
1771175580.4935043,2.541962746696261,2.9918819081106554,2.650272462867272,2.9055393552226394,0.13851364935003602,1.7363849351389138
1771175580.5733202,2.650272462867272,2.9055393552226394,2.7499301878449534,2.818154470690318,0.13254350301864795,1.660616015930625
1771175580.6691582,2.7499301878449534,2.818154470690318,2.847009643271808,2.7252206428243073,0.13439165535033792,1.4022784001018567
1771175580.749033,2.847009643271808,2.7252206428243073,2.9411830120884264,2.6298805828652996,0.13400876996397657,1.6777362474814466
1771175580.8297951,2.9411830120884264,2.6298805828652996,3.0347235924556757,2.5295372003367294,0.13718102854519207,1.6985807349898987
1771175580.9088519,3.0347235924556757,2.5295372003367294,3.12501214467303,2.428011309593874,0.13586584983959782,1.7185865515206356
1771175580.9887064,3.12501214467303,2.428011309593874,3.210060864167918,2.3264020318938767,0.13250558479715216,1.659337972069227
1771175581.0684428,3.210060864167918,2.3264020318938767,3.2883380758979923,2.225183719400374,0.12795494777564204,1.6047229816952164
1771175581.1482992,3.2883380758979923,2.225183719400374,3.359701264836073,2.122462294223756,0.12507755964091907,1.5662810537709377
1771175581.2282758,3.359701264836073,2.122462294223756,3.4241657004707085,2.0170281083198334,0.12358005914756234,1.5452035093662089
1771175581.3243177,3.4241657004707085,2.0170281083198334,3.483668413953455,1.902845885170683,0.12875617653181598,1.3406247967552036
1771175581.4040632,3.483668413953455,1.902845885170683,3.5384604272125597,1.7808114772226085,0.1337705552063795,1.6774677325625929
1771175581.48382,3.5384604272125597,1.7808114772226085,3.5875442757958407,1.654728578941269,0.1353001161520901,1.6964098790435844
1771175581.563575,3.5875442757958407,1.654728578941269,3.6300815170913343,1.5273617878332852,0.13428222657587932,1.6836826829611558
1771175581.6535149,3.6300815170913343,1.5273617878332852,3.6660240635455654,1.3978822707519694,0.134375637632814,1.4940614588409407
1771175581.7332094,3.6660240635455654,1.3978822707519694,3.6955386472402303,1.2669272305945223,0.13423983459952546,1.684430149972112
1771175581.8131576,3.6955386472402303,1.2669272305945223,3.718692938770788,1.1329701914308097,0.13594340571646163,1.7003938554610212
1771175581.908567,3.718692938770788,1.1329701914308097,3.7357130265070806,1.001993149028389,0.13207826854951035,1.384331919181274
1771175582.0049636,3.7357130265070806,1.001993149028389,3.7449108674800304,0.8591244446749353,0.1431644752101521,1.4851597410740627
1771175582.084797,3.7449108674800304,0.8591244446749353,3.748508854576632,0.7145728964669003,0.1445963194569184,1.8112288404588113
1771175582.1645198,3.748508854576632,0.7145728964669003,3.7457860600910897,0.5723511232911402,0.14224783434227684,1.784278641114501
1771175582.244334,3.7457860600910897,0.5723511232911402,3.7364470943993835,0.4348118920762454,0.13785592625409754,1.7272106191246586
1771175582.325419,3.7364470943993835,0.4348118920762454,3.72064600030303,0.3036027782014512,0.1321571267032184,1.6298597896464688
1771175582.4042332,3.72064600030303,0.3036027782014512,3.6978281709156073,0.1764222457606129,0.12921122694986162,1.6394395335365546
1771175582.483906,3.6978281709156073,0.1764222457606129,3.668450872423579,0.05176214944093124,0.12807484249891557,1.607509977474389
1771175582.5637324,3.668450872423579,0.05176214944093124,3.633886925787348,-0.06984797580582768,0.12642661495747096,1.583770359906875
1771175582.6595032,3.633886925787348,-0.06984797580582768,3.590194801093927,-0.19889162912969655,0.13623973804803172,1.4225597678166646
1771175582.7400055,3.590194801093927,-0.19889162912969655,3.5409609429454196,-0.33227707384510863,0.1421817486533191,1.766183062107356
1771175582.8192306,3.5409609429454196,-0.33227707384510863,3.486045101694482,-0.46972851363229495,0.1480157015990827,1.868293888182871
1771175582.89942,3.486045101694482,-0.46972851363229495,3.426349917164774,-0.6089571991055749,0.15148644135583025,1.889106487575108
1771175582.9789822,3.426349917164774,-0.6089571991055749,3.3619924989302343,-0.7480491963843006,0.15325945644168418,1.9262851091109046
1771175583.058921,3.3619924989302343,-0.7480491963843006,3.2934789904493087,-0.8843935772615212,0.1525905994521238,1.908840643400422
1771175583.139512,3.2934789904493087,-0.8843935772615212,3.2208791467673916,-1.0161304730518874,0.15041724307778212,1.866428155214627
1771175583.2185888,3.2208791467673916,-1.0161304730518874,3.143477482627724,-1.1430372929569845,0.14864843944695377,1.879799151469271
1771175583.314549,3.143477482627724,-1.1430372929569845,3.0567588295406947,-1.2700965323677358,0.15383164535578212,1.6030785802297183
1771175583.394323,3.0567588295406947,-1.2700965323677358,2.96294351107411,-1.3959672216322843,0.1569864465325566,1.9678863846277412
1771175583.4742293,2.96294351107411,-1.3959672216322843,2.86264269674647,-1.5203526188930625,0.15978729738783773,1.9996852182538538
1771175583.5542326,2.86264269674647,-1.5203526188930625,2.7581048032979107,-1.641778162016951,0.16022588333223073,2.0027418907131067
1771175583.6339495,2.7581048032979107,-1.641778162016951,2.65038706742591,-1.759802980278017,0.15979038878151527,2.004472664929595
1771175583.714065,2.65038706742591,-1.759802980278017,2.5393143645177103,-1.875172049216227,0.16014733028996336,1.9989542212860036
1771175583.793824,2.5393143645177103,-1.875172049216227,2.426325709169414,-1.9872764597806574,0.15916606141201847,1.9955904142331988
1771175583.8819346,2.426325709169414,-1.9872764597806574,2.327258111772806,-2.081266597899859,0.13655963868436005,1.5498646746897446
1771175583.9773765,2.327258111772806,-2.081266597899859,2.250852059256691,-2.148429803715601,0.10172895888852423,1.0658740661833088
1771175584.057255,2.250852059256691,-2.148429803715601,2.2028408751289574,-2.1867336168017597,0.06141869339449143,0.7689007756780306
1771175584.1211972,2.2028408751289574,-2.1867336168017597,2.182078236840112,-2.2002618940123364,0.02478107005356373,0.3875542659575103
1771175584.2488122,2.182078236840112,-2.2002618940123364,2.193509966694169,-2.1870944995699366,0.017437451759298783,0.1366411094202287
1771175584.312647,2.193509966694169,-2.1870944995699366,2.206336552875109,-2.17416486100823,0.018212546949657064,0.28530702397872
1771175584.442928,2.206336552875109,-2.17416486100823,2.1983064765106426,-2.1826816723358156,0.011705477419091313,0.08984794388531611
1771175584.504321,2.1983064765106426,-2.1826816723358156,2.1737258047792785,-2.2067803071038066,0.034423155294744684,0.5607014261900685
1771175584.5682166,2.1737258047792785,-2.2067803071038066,2.1331082821591676,-2.2453517443888646,0.056013738654283614,0.8766465598219995
1771175584.6481946,2.1331082821591676,-2.2453517443888646,2.077192484592582,-2.296340858460059,0.07567341786435057,0.9461780500402951
1771175584.7119348,2.077192484592582,-2.296340858460059,2.0115680773580467,-2.354714307451105,0.08782950741063295,1.377928430761812
1771175584.7917666,2.0115680773580467,-2.354714307451105,1.9431400292613026,-2.4140432284694975,0.09056665299952833,1.1344678336231253
1771175584.8714201,1.9431400292613026,-2.4140432284694975,1.8766386475698638,-2.4694340985346637,0.08654814991348202,1.086558007772485
1771175584.951237,1.8766386475698638,-2.4694340985346637,1.8164079533294646,-2.5170828957266598,0.0767993776180799,0.9621954284089151
1771175585.0154088,1.8164079533294646,-2.5170828957266598,1.7649643978589176,-2.5550033904890594,0.06390933673945012,0.9959101291578958
1771175585.0795624,1.7649643978589176,-2.5550033904890594,1.724644988792512,-2.5824420093259146,0.04877020146706774,0.7602090497031666
1771175585.1432114,1.724644988792512,-2.5824420093259146,1.6949503521246676,-2.60039857617788,0.03470172531653695,0.545205085731177
1771175585.2230656,1.6949503521246676,-2.60039857617788,1.6723921551825731,-2.6119469484474753,0.025342398295257754,0.3173581657805973
1771175585.2868674,1.6723921551825731,-2.6119469484474753,1.653152054010296,-2.62115636636745,0.021330608794505015,0.3343263097308992
1771175585.3510754,1.653152054010296,-2.62115636636745,1.633501460528129,-2.631497380953215,0.022205458942890253,0.3458361625573706
1771175585.414752,1.633501460528129,-2.631497380953215,1.6108284186013915,-2.645414004414688,0.026603368936659374,0.41778880684930736
1771175585.479052,1.6108284186013915,-2.645414004414688,1.5829742747668585,-2.6644101583429274,0.033715088503817124,0.5243399206949884
1771175585.542529,1.5829742747668585,-2.6644101583429274,1.5486859961168011,-2.689136328110681,0.04227374509276109,0.6659690737657779
1771175585.6064224,1.5486859961168011,-2.689136328110681,1.5083237958015083,-2.7189181346914677,0.050160374973750185,0.7850644857004803
1771175585.6705372,1.5083237958015083,-2.7189181346914677,1.4629758057153592,-2.752322547027763,0.056323129959073785,0.878473020596924
1771175585.7563403,1.4629758057153592,-2.752322547027763,1.4117329909763592,-2.7889108163914798,0.06296449410109933,0.7338259813334779
1771175585.8200414,1.4117329909763592,-2.7889108163914798,1.3582458339111987,-2.8259710703593637,0.06507179415904563,1.0215167433751589
1771175585.8842242,1.3582458339111987,-2.8259710703593637,1.305616509053,-2.8609674570886297,0.06320279202008519,0.9847316267375852
1771175585.9479096,1.305616509053,-2.8609674570886297,1.2563241004635073,-2.8920315382800688,0.05826421444438966,0.914875289016612
1771175586.0117612,1.2563241004635073,-2.8920315382800688,1.2120035835258136,-2.918127286113624,0.05143244381338395,0.805499751006305
1771175586.0756824,1.2120035835258136,-2.918127286113624,1.1733898297322982,-2.9390738150659255,0.043929250587459674,0.6872405641669661
1771175586.1394324,1.1733898297322982,-2.9390738150659255,1.140007339655206,-2.9555856290164546,0.037242860304816175,0.5842014680890683
1771175586.2033262,1.140007339655206,-2.9555856290164546,1.110684045065075,-2.9689704592469184,0.03223366696356373,0.5044882207542939
1771175586.2903607,1.110684045065075,-2.9689704592469184,1.0818898881398602,-2.9816111164186307,0.03144661645975063,0.36131223261424605
1771175586.355053,1.0818898881398602,-2.9816111164186307,1.0507980974928133,-2.9958748224475356,0.03420749560138552,0.5287726262382986
1771175586.4180105,1.0507980974928133,-2.9958748224475356,1.0158468843346977,-3.0131406926431765,0.038983298665412516,0.6191999845701003
1771175586.4818258,1.0158468843346977,-3.0131406926431765,0.9770679982010062,-3.03362458281833,0.04385649058551729,0.687240404424991
1771175586.5457366,0.9770679982010062,-3.03362458281833,0.935044541813218,-3.0568818369384783,0.0480298943990665,0.7515154319262489
1771175586.6095746,0.935044541813218,-3.0568818369384783,0.8906944036755547,-3.0820769185877275,0.05100712589572316,0.799008769823777
1771175586.6734917,0.8906944036755547,-3.0820769185877275,0.8451688950679561,-3.108116286877452,0.052446359596338456,0.8205364501222016
1771175586.7373862,0.8451688950679561,-3.108116286877452,0.7994134402657868,-3.133946863207888,0.05254312816835193,0.8223418247828532
1771175586.8171942,0.7994134402657868,-3.133946863207888,0.7528187670513254,-3.1592428890395423,0.05301841656290908,0.6643246130969974
1771175586.896195,0.7528187670513254,-3.1592428890395423,0.7068131321938089,-3.1830091226916126,0.05178177575796275,0.6554596131277707
1771175586.9602594,0.7068131321938089,-3.1830091226916126,0.6607587441614878,-3.205192868064293,0.05111873644556881,0.797926063238614
1771175587.023856,0.6607587441614878,-3.205192868064293,0.6160933136118185,-3.2252767764140913,0.04897309527475697,0.7700597556572966
1771175587.087824,0.6160933136118185,-3.2252767764140913,0.5735395412027371,-3.243121696532109,0.04614395648687189,0.7213579521163194
1771175587.1515412,0.5735395412027371,-3.243121696532109,0.5332440568839933,-3.2589994796227217,0.04331085374770021,0.679736452212708
1771175587.2154522,0.5332440568839933,-3.2589994796227217,0.4952091685289466,-3.273360979299067,0.04065593935865382,0.6361340625517945
1771175587.2793314,0.4952091685289466,-3.273360979299067,0.4589004141083419,-3.2868468981848915,0.03873235928485143,0.6063370873548197
1771175587.359171,0.4589004141083419,-3.2868468981848915,0.4217533128182429,-3.3007777628307338,0.0396733679442224,0.49691423223248293
1771175587.4250033,0.4217533128182429,-3.3007777628307338,0.3834301349715352,-3.3157095910140812,0.041129374577878,0.6247590741359477
1771175587.5028079,0.3834301349715352,-3.3157095910140812,-2.077963245281574,-2.83986189885665,2.5069679691781825,32.2213478776351
1771175587.566818,-2.077963245281574,-2.83986189885665,-6.299887860914766,-2.031159738593179,4.298679639622414,67.15622586277776
1771175587.6307971,-6.299887860914766,-2.031159738593179,-11.34819741635749,-1.0941309773946628,5.134535253251996,80.25325976290436
1771175587.7037416,-11.34819741635749,-1.0941309773946628,-16.25473360620786,-0.2321842301932937,4.9816713638419,68.29408672646122
